Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Cocaine","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790024","3ykSdTGmYPFl8pDBXer1zG"
"Wonderful Tonight","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790025","6zC0mpGYwbNTpk9SKwh08f"
"Lay Down Sally","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790026","6io0LJIP9ntX35hTfaxwQG"
"Next Time You See Her","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790027","19IjIGFbmQW4JSVNEdWpk0"
"We're All The Way","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790028","1jAVVr5Io2r7nBXNEifqL0"
"The Core","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790029","62DOxN9FeTsR0J0ccnBhMu"
"May You Never","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790030","3D9uJNV5I1kGShAQ5jRehm"
"Mean Old Frisco","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790031","08ZN4WqgIXm1mbUYALht1u"
"Peaches And Diesel","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF057790032","2nqesy7vSlS8QKWE1zgUfE"
"Looking At The Rain","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206274","0EsmWwIQDA4FgRYAEBp1Qd"
"Alberta","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","NLF059990007","6SO8RtacUNPKaPSCOygpz3"
"Greyhound Bus","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206279","1fNLgsSgKF417FiNjbUjeY"
"Stars, Strays And Ashtrays","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206280","366AmppJEyGW1agyTkhzXB"
"Hello Old Friend - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206285","1r0hiSfbrL7pubWLhoBrQp"
"Sign Language - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206287","1cKHZjWiJGCFItwklmhukF"
"Alberta - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206286","1meXFERDt3upM5RyQ90950"
"Tell The Truth - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206288","1UgkglgAQ7QW5Fe0lAtJKn"
"Knocking On Heaven's Door - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206289","5uhvUuQciVrP0p48NqSHaq"
"Steady Rollin' Man - Live At Hammersmith Odeon","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Slowhand 35th Anniversary (Super Deluxe)","Playlist","GBUM71206290","7BIOmTVnn9tlwT5aOZV7Ep"
