Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Satie: Gymnopédie No. 1","Music Box","Classical","Classical","Playlist","usl4q2114322","1M4RTeFIipolvOJ0PHWrGS"
"Beethoven: Moonlight Sonata (1st Mvt)","Music Box","Classical","Classical","Playlist","usl4q2114323","3TI7scqCVRoyt6w3P9JlMI"
"Grieg: At the Cradle","Music Box","Classical","Classical","Playlist","usl4q2114324","5Lc10j3dX96DKSFThmX2pq"
"Schubert / Liszt: Serenade","Music Box","Classical","Classical","Playlist","usl4q2114325","3fPeqePxiQeo9mSmTu9RhR"
"Mendelssohn: Venetian Boat Song","Music Box","Classical","Classical","Playlist","usl4q2114326","55ko5hkjrfWSh7AMPTsPth"
"Bach: Bourrée in E Minor","Music Box","Classical","Classical","Playlist","usl4q2114327","77175DotLxuuMaCxkSKh8S"
"Beethoven: Sonatina in G Major","Music Box","Classical","Classical","Playlist","usl4q2114328","5rgAT1BCi3jyhw0vO5Y7Lt"
"Dvořák: Humoresque No. 1","Music Box","Classical","Classical","Playlist","usl4q2114329","707fRuXcOpK3YUxSfVb3JG"
"Chopin: Nocturne Op. 9, No. 1, In B-Flat Minor","Music Box","Classical","Classical","Playlist","usl4q2114330","5vROh8Std1CUih02VOgyUA"
"Mozart: Piano Sonata No. 16 in C Major, K545 (1st Mvt)","Music Box","Classical","Classical","Playlist","usl4q2114331","6MyLLsXx1NCXe3yUIZfQSC"
"Debussy: La Fille Aux Cheveux De Lin","Music Box","Classical","Classical","Playlist","usl4q2114332","2sn7p2lvD2VXlohrGG3noI"
"Debussy: Rêverie","Music Box","Classical","Classical","Playlist","usl4q2114333","3xvRnuZ03AQCUFBpH5ig5y"
"Chopin: Prelude Op. 28, No. 7, In A Major","Music Box","Classical","Classical","Playlist","usl4q2114334","7jinvQmKLEP0Iw0fEuaQig"
"Chopin: Prelude Op. 28, No. 4, In E Minor","Music Box","Classical","Classical","Playlist","usl4q2114335","6gpfeMHKLTHX5aFfYkqxgb"
