Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000382","7nVQ8mo77KaUvhUQzh4vMy"
"The Year 2003 Minus 25 - Remastered","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000383","0sFq478LIo9BFwf2qzMzzF"
"Pick Up the Tempo","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000384","1jMUJ4j7f7nKo58VQoDbvA"
"If You Can Touch Her at All - Remastered","Willie Nelson","Waylon & Willie","Waylon & Willie","Playlist","USRN10000385","4jvB3beW1bb7cmf3KiFiEA"
"Lookin' for a Feeling","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000386","3ysdhH7r8Xd4QqZPWeZHB5"
"It's Not Supposed to Be That Way","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000387","3boDY5036jPOPP7UVRbdmo"
"I Can Get off on You - Remastered","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000388","1tmCPGkgKKurSN1onKcaJt"
"Don't Cuss the Fiddle - Remastered","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000389","6FAfhpGpZFziDUE9MotrpK"
"Gold Dust Woman - Remastered","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10100132","2ektNTZPN9KgOLt1CwnWxY"
"A Couple More Years - Remastered","Willie Nelson","Waylon & Willie","Waylon & Willie","Playlist","USRN10000390","1a9G7KSJHh08x9tOFhcvky"
"The Wurlitzer Prize (I Don't Want to Get over You)","Waylon Jennings","Waylon & Willie","Waylon & Willie","Playlist","USRN10000391","44L5MoIMIReAd35zotAGkP"
