Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900816","46eu3SBuFCXWsPT39Yg3tJ"
"Rock with You - Single Version","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900817","7oOOI85fVQvVnK5ynNMdW7"
"Workin' Day and Night","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900818","6BdiFsPMPkSEEO4fFXFVWX"
"Get on the Floor","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900819","78XG7U0UueeC86XpzF9O7f"
"Off the Wall","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900820","3zYpRGnnoegSpt3SguSo3W"
"Girlfriend","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900821","1nCV2d1RAch7t2kRmwet5N"
"She's Out of My Life","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900822","6NGsHLZYGVAkXTFr75WWnn"
"I Can't Help It","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900823","1HibhNhwk2tljwC4BGGLXV"
"It's the Falling in Love","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900824","0CeE7kE8zAnfKIVpdmOaJl"
"Burn This Disco Out","Michael Jackson","Off the Wall","Off the Wall","Playlist","USSM17900825","6aCs8gCrp4yrwvw7ylhau2"
