Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Alive (feat. The Moth & The Flame)","Kx5","Kx5","Kx5","Playlist","GBTDG1302561","1wbQbpNwQzcrgphXzWcgw7"
"Sacrifice","deadmau5","Kx5","Kx5","Playlist","GBTDG1302638","4B09c7LQP0c8lno8idZamQ"
"Escape (feat. Hayla)","Kx5","Kx5","Kx5","Playlist","GBTDG1302438","3VpxEo6vMpi4rQ6t2WVVkK"
"Bright Lights (feat. AR/CO)","Kx5","Kx5","Kx5","Playlist","GBTDG1302650","7hz4FnANJOY7tR8eutPxIP"
"pwdr Blu (feat. Brother.)","Kx5","Kx5","Kx5","Playlist","GBTDG1302651","6HIAIAWnanFhBtmIjtAtAr"
"When I Talk","deadmau5","Kx5","Kx5","Playlist","GBTDG1302600","546NI3CItAWlyk2LT3Vspw"
"Eat Sleep (feat. Richard Walters)","Kx5","Kx5","Kx5","Playlist","GBTDG1302591","52ZIGf5Fvy8PpxZGAnsvs7"
"Take Me High","Kx5","Kx5","Kx5","Playlist","GBTDG1302555","0O2C5SEIVOET80kJjHizI5"
"Avalanche (feat. James French)","Kx5","Kx5","Kx5","Playlist","GBTDG1302576","2L1l9SGzzNgtF28yjTydlj"
"Unobsidian","Kx5","Kx5","Kx5","Playlist","GBTDG1302652","7hK5LzrcxkYFDrrWTL2La3"
