Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Love Minus Zero/No Limit","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29853376","0qH1dPZj1eSnU6nCUZF9VD"
"It's All Over Now, Baby Blue","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG20287227","5oeFMb1rbllXWxafIFxX52"
"You Ain't Goin' Nowhere","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28709363","2dAKyu0VXvFqc1fOc0A6LS"
"It Ain't Me Babe","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG20287213","2beBdwV1Y5PtWxDk1GgAZ6"
"I Pity The Poor Immigrant","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28908232","6zfYYFJTRA7TEhs2ekexv4"
"Tears Of Rage","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28709053","63Y70VO9Y6wq8NLT9CBx96"
"Love Is Just A Four-Letter Word","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28706842","3qq5qOc70lovPvgBqI0vBI"
"I Dreamed I Saw St. August","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29808207","2yU2KyxZCuYpoRzdmdOhpc"
"Farewell, Angelina","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28707987","0PImlNWLk4BIX0coFLXEp8"
"Dear Landlord","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29807879","2DOBs8yRA8gGlI4XKnOHbj"
"One Too Many Mornings","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG20287236","2EEwfPipVVar4QgttlX7UR"
"I Shall Be Released - Extended Version","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28708235","0kQNdhyqb37kAEXXcAPufv"
"Boots Of Spanish Leather","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28706845","25XW58aLYsUZeANkXhvO7P"
"Daddy, You Been On My Mind","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG20287226","2ehavfXT3O4rYbMRXcwWkD"
"Restless Farewell","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29853382","0tKJKOd6yiUQnkYKy0MMg3"
"Don't Think Twice, It's All Right","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG20286857","5YqdrbmXUOYUjL7GYaSVSo"
"Walls Of Red Wing","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29853383","15aQAIrTxHl0J63CsaIoEK"
"Drifter's Escape","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG29807924","0S19CiQvKi8oe0rKngMHPv"
"Walkin' Down The Line","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28706846","5BTiZLoejSJaDUgfz00zUK"
"North Country Blues","Joan Baez","Baez Sings Dylan","Baez Sings Dylan","Playlist","USVG28706841","3eoVxC9JXC79Ess36UJRwL"
