Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"What We Talkin' About","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900029","16fUYz4496iiTyzpXIH02y"
"Thank You","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900030","6up1XqJ3UkmvkVmtwGLsGg"
"D.O.A. (Death Of Auto-Tune)","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USAT20902100","5kMsjfhYMZ1L9Btuu0AIRx"
"Run This Town","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900010","7LR85XLWw2yXqKBSI5brbG"
"Empire State Of Mind","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900031","2igwFfvr1OAGX9SKDCPBwO"
"Real As It Gets","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900032","0Fx59cxbrS4v9CsOMUtQEM"
"On To The Next One","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900033","4ljDnzzqwnRIynr1g55um4"
"Off That","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900034","637A7SaHyjxQEHyUMb30hx"
"A Star Is Born","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900035","62ooTvljfhysGjIWmhpu9z"
"Venus Vs. Mars","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900036","0zMgwXDyZ5qaqXMLW3h4lr"
"Already Home","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900037","6BspqxU4vVF6ZsWjfgIJkK"
"Hate","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900038","4GL8l2w8FmIVFOJFPStfWI"
"Reminder","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900039","3dTX4PhKW5636xZfihda4m"
"So Ambitious","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900040","0Oi1wJRbRy3ZP5phE9kNMC"
"Young Forever","JAY-Z","The Blueprint 3","The Blueprint 3","Playlist","USJZ10900041","35srNkJVToAzYiZzron1FY"
