Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900113","4vLYewWIvqHfKtJDk8c8tq"
"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900114","2x91iJc0UkFcjRMEZ2CoWB"
"Blue in Green (feat. John Coltrane & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900115","0aWMVrwxPNYkKmFthzmpRi"
"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900116","5o3DSHw1ORhM3lWxqGRvEf"
"Flamenco Sketches (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900117","6dRx7OUXfvosnXG3g9lWGi"
"Flamenco Sketches (feat. John Coltrane, Cannonball Adderley & Bill Evans) - Alternate Take","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15900118","4QrQ1zC1UJW2i3GKbDeNTT"
"Freddie Freeloader - Studio Sequence 1","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802755","0OYCtl0lZeteFq2sIZbCHf"
"Freddie Freeloader - False Start","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802758","3NOweI7UeWPF9PzgEsiG78"
"Freddie Freeloader - Studio Sequence 2","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802761","3FdeddUjZryl1JW2DbzR0x"
"So What - Studio Sequence 1","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802764","7aYP6U6rAhIzNx1DxDnBxv"
"So What - Studio Sequence 2","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802765","7BcUaElEzhmBeeIRTN4xdW"
"Blue in Green - Studio Sequence","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802766","4S0JzmCCQjaRjbPfIF6JV1"
"Flamenco Sketches - Studio Sequence 1","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802767","745roqGwMrDnjNO1S3Q5ex"
"Flamenco Sketches - Studio Sequence 2","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802768","1p9HpuOBxEWQkD7UVJpj0b"
"All Blues - Studio Sequence","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802769","7FA0qrw667jTZR3wNcITQE"
"On Green Dolphin Street (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15800959","0tUq1zaYNoV6ZiYRU2bjqf"
"Fran-Dance (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15800961","6YCAJqpG0uSZSwidZODdjW"
"Stella By Starlight (feat. John Coltrane & Bill Evans)","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15800962","4zxd4tiXPlWMqoJltbVTbE"
"Love For Sale","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15800963","66vrjgMvWOLyeKBuMGA0Cz"
"Fran-Dance - alternate take","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM15800960","4lcVPIWSWPB7F1emLGz1Tm"
"So What - Live at Kurhaus, Den Haag, Holland - April 1960","Miles Davis","Kind Of Blue (Legacy Edition)","Kind Of Blue (Legacy Edition)","Playlist","USSM10802830","1U7yJYYi8yTgRWkwoySwZz"
