Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"8/31","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904573","6nrImcv9m7yG4DbAxE5j8S"
"藍二乗","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651804340","6BV77pE4JyUQUtaqnXeKa5"
"八月、某、月明かり","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904574","2dZP7UEXGIvn1HXgfWFA3Z"
"詩書きとコーヒー","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904575","296hhXjbt43FQe30TvlZTE"
"7/13","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904576","6N5JFGXQsrIfkQBbhg2EO7"
"踊ろうぜ","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904577","1yISTmavzT0lQ1o0VZZK6M"
"六月は雨上がりの街を書く","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904578","7q0rpYkJLqXduCHgMXE5oA"
"五月は花緑青の窓辺から","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904579","26GW1dAtZ9Ya1GB7bbB9aO"
"夜紛い","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904580","0oP2Xuft7MjxRZrSCTwyr6"
"5/6","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904581","1IIbKQS90UuYyMUuVsG8zS"
"パレード","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904582","2SdXNiI9ny1WunIx4A7Bjg"
"エルマ","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904583","5YCwibP7MrreKevBdimMZU"
"4/10","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904584","6KFOG2TFDyh4GFzVdeJaBY"
"だから僕は音楽を辞めた","ヨルシカ","だから僕は音楽を辞めた","だから僕は音楽を辞めた","Playlist","JPA651904585","5j7ixaLeGTGSv4DzKs0pCM"
