Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Enter Sandman (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900001","3VqHuw0wFlIHcIPWkhIbdQ"
"Sad But True (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900002","5UaDi8KzCGJqFfVAOBfXhi"
"Holier Than Thou (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900003","5VJ05rDJ2O4cECGNbWPi64"
"The Unforgiven (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900004","7lwvxYumAEo10lzAplRGXM"
"Wherever I May Roam (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900005","745sNpjWbAxo2MA2zSYbyD"
"Don't Tread on Me (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900006","0u9ORuO4xOQY5SHxNcvCnV"
"Through the Never (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900007","0Nl9491E3l4mDUBlHhuWpD"
"Nothing Else Matters (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900008","2CtemffYhT0DJWcT1XW047"
"Of Wolf and Man (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900009","55bio2ZtgCnUWsbANOEETT"
"The God That Failed (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900010","1O0GYt4Kak2eU6GXJuSYot"
"My Friend of Misery (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900011","6e9oTF6tSrSReHI6IcHZef"
"The Struggle Within (Remastered)","Metallica","Metallica (Remastered)","Metallica (Remastered)","Playlist","QMKHM1900012","4r0gODFlBlIZ12NsNf38qf"
