Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"牛仔很忙","Jay Chou","我很忙","我很忙","Playlist","TWK970701301","5fqDYFeWEXet52u2Fkp3Rr"
"彩虹","Jay Chou","我很忙","我很忙","Playlist","TWK970701302","5pLarojy3gy2T4hPnm8lQh"
"青花瓷","Jay Chou","我很忙","我很忙","Playlist","TWK970701303","10VuSw48iPN2UK2xX9Y6P0"
"陽光宅男","Jay Chou","我很忙","我很忙","Playlist","TWK970701304","5pFCvT5Vq9B8Kx58A8sVI5"
"蒲公英的約定","Jay Chou","我很忙","我很忙","Playlist","TWK970701305","3JovAXFjc98TkksMfeyIMh"
"無雙","Jay Chou","我很忙","我很忙","Playlist","TWK970701306","4a5QMhmphuCb73C8oMhn2J"
"我不配","Jay Chou","我很忙","我很忙","Playlist","TWK970701307","1MuU99FWeiFmxqfVFv5NXG"
"扯","Jay Chou","我很忙","我很忙","Playlist","TWK970701308","4qzuGD1Gbv72hhIjxFUC7h"
"甜甜的","Jay Chou","我很忙","我很忙","Playlist","TWK970701309","17r0QOU13yjiEP38skWLjo"
"最長的電影","Jay Chou","我很忙","我很忙","Playlist","TWK970701310","4J1vA4sgG6FJ1j21UugbtH"
