Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Know Your Rights - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200668","31l6t3Jq09uywRTVGbzant"
"Car Jamming - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200669","3QcqUffnkbQGWJlfyaT3yF"
"Should I Stay or Should I Go - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200670","39shmbIHICJ2Wxnk1fPSdz"
"Rock the Casbah - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200671","56KqaFSGTb7ifpt16t5Y1N"
"Red Angel Dragnet - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200672","3AySFupxPGQWjauQfFXcr0"
"Straight to Hell - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200673","2ax1vei61BzRGsEn6ckEdL"
"Overpowered by Funk - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200674","2KbnkNVzg8ubqK5wAXSxf1"
"Atom Tan - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200675","5rL2E6ZlMJYMdV799HumhZ"
"Sean Flynn - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200676","4AWJmxQP5DK2mpQvKecaUB"
"Ghetto Defendant - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200677","4WidRX7HuOreEGkQ6tKBBi"
"Inoculated City - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200678","09dKenoVuQzPRQ8Anoo6we"
"Death is a Star - Remastered","The Clash","Combat Rock (Remastered)","Combat Rock (Remastered)","Playlist","GBARL1200679","4PY3mBItnv6YzN66Sq3Ci4"
