Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Blitzkrieg Bop - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601901","4KcH1ZRV2W1q7Flq0QqC76"
"Beat on the Brat - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601902","55mKuESqpfgqe0kooIkTH2"
"Judy Is a Punk - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601903","0vGCxnTwYZFtOAW3oz28kd"
"I Wanna Be Your Boyfriend - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601918","70U8S3FnHJlwPuid3D2A5d"
"Chain Saw - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601905","0qh1urPOJNYPrBQREE5lLS"
"Now I Wanna Sniff Some Glue - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601906","1KWWXe7kMpVptnBsdiiyVb"
"I Don't Wanna Go Down to the Basement - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601907","6WPZnQd1Ic50z5RzKWhZKT"
"Loudmouth - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601908","18hdp5HzsWTsl6NjsPhnpB"
"Havana Affair - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601909","2A0zKcpBgK7v9G2gsimPIY"
"Listen to My Heart - 2016 Remaster","Ramones","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Ramones (40th Anniversary Deluxe Edition; 2016 Remaster)","Playlist","USRH11601910","6XelYgwWSqRpwMs15BgGYM"
