Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Harlem's Nocturne","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300448","1B6dE1LulqFg6OjHIVBv3r"
"Karma","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300449","588RGyR1f4Plc8nm7SrdCa"
"Heartburn","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300450","4SQjx8r47JIqjvurpZtxOi"
"If I Was Your Woman / Walk On By","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300451","0IHa9skAs65KA2AIH4RGFb"
"You Don't Know My Name","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300430","6LGwYMXXgURfaequXipzHx"
"If I Ain't Got You","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300452","3XVBdLihbNbxUwZosxcGuJ"
"Diary (feat. Tony! Toni! Tone! & Jermaine Paul)","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300445","5dxHF4lrDimKqnI3GaZUmC"
"Dragon Days","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300453","7q4ElMUqO1sqqdrIvQ6HEY"
"Wake Up","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300454","5uOLfAXKYvGB57XRNCejRu"
"So Simple (feat. Lellow)","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300455","4SZOVptbDIwRegbsYCOHRJ"
"When You Really Love Someone","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300456","7M4VDk55yaOIgGNsIcOnRv"
"Feeling U, Feeling Me (Interlude)","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300457","4noLzwgD4GzlbLRbSCElVq"
"Slow Down","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300458","4EvZwWEf8kXXCEpFj8BSwp"
"Samsonite Man","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300459","6npWWhIMwgd3zEPApjjDCl"
"Nobody Not Really (Interlude)","Alicia Keys","The Diary Of Alicia Keys","The Diary Of Alicia Keys","Playlist","USJAY0300460","4g8W8YNI1lbb4v8Rd49pmA"
