Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Come Together - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601690","2EqlS6tkEnglzr7tkKAAYD"
"Something - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601691","0pNeVovbiZHkulpGeOx1Gj"
"Maxwell's Silver Hammer - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601692","2S8xyNRJX1XQdo3qnTuovI"
"Oh! Darling - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601693","2mxByJWOajjiVsLWjNXvDJ"
"Octopus's Garden - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601694","0suLngfo7rJoetk7Ub6N8l"
"I Want You (She's So Heavy) - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601695","3Z25k4ZF6QENy2d9YatsM5"
"Here Comes The Sun - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601696","6dGnYIeXmHdcikdzNNDMm2"
"Because - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601697","1rxoyGj1QuPoVi8fOft1Kt"
"You Never Give Me Your Money - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601698","1jOLTO379yIu9aMnCkpMQl"
"Sun King - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601699","4nwKdZID1ht0lDBJ5h2p87"
"Mean Mr Mustard - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601700","4JOyMhad5dD81uGYLGgKrS"
"Polythene Pam - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601701","1FTCA6wQwulQFokDddKE68"
"She Came In Through The Bathroom Window - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601702","2jtUGFsqanQ82zqDlhiKIp"
"Golden Slumbers - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601703","01SfTM5nfCou5gQL70r6gs"
"Carry That Weight - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601704","5eZrW59C3UgBhkqNlowEID"
"The End - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601705","5aHHf6jrqDRb1fcBmue2kn"
"Her Majesty - Remastered 2009","The Beatles","Abbey Road (Remastered)","Abbey Road (Remastered)","Playlist","GBAYE0601706","6UCFZ9ZOFRxK8oak7MdPZu"
